m	n	d	result	time
1000000	25000	218607	true	400
1000000	25000	218607	true	400
1000000	25000	218607	true	400
1000000	25000	218607	true	400
1000000	25000	218607	true	500
1000000	25000	218607	true	401
1000000	25000	218607	true	400
1000000	25000	218607	true	400
1000000	26000	226138	false	2101
1000000	26000	226138	false	100
1000000	26000	226138	false	100
1000000	26000	226138	false	100
1000000	26000	226138	false	100
1000000	26000	226138	false	0
1000000	26000	226138	false	0
1000000	26000	226138	false	99
1000000	26000	226138	false	100
1000000	26000	226138	false	100
1000000	27000	233661	true	3801
1000000	27000	233661	true	200
1000000	27000	233661	true	100
1000000	27000	233661	true	100
1000000	27000	233661	true	100
1000000	27000	233661	true	100
1000000	27000	233661	true	701
1000000	27000	233661	true	0
1000000	27000	233661	true	100
1000000	27000	233661	true	100
1000000	28000	240967	true	8000
1000000	28000	240967	true	200
1000000	28000	240967	true	100
1000000	28000	240967	true	100
1000000	28000	240967	true	100
1000000	28000	240967	true	100
1000000	28000	240967	true	100
1000000	28000	240967	true	100
1000000	28000	240967	true	100
1000000	28000	240967	true	100
1000000	29000	248031	false	2100
1000000	29000	248031	false	200
1000000	29000	248031	false	200
1000000	29000	248031	false	100
1000000	29000	248031	false	100
1000000	29000	248031	false	9799
1000000	29000	248031	false	901
1000000	29000	248031	false	200
1000000	29000	248031	false	200
1000000	29000	248031	false	100
1000000	30000	254900	false	5499
1000000	30000	254900	false	9099
1000000	30000	254900	false	100
1000000	30000	254900	false	0
1000000	30000	254900	false	0
1000000	30000	254900	false	0
1000000	30000	254900	false	0
1000000	30000	254900	false	100
1000000	30000	254900	false	100
1000000	30000	254900	false	100
1000000	31000	262147	true	200
1000000	31000	262147	true	100
1000000	31000	262147	true	0
1000000	31000	262147	true	100
1000000	31000	262147	true	101
1000000	31000	262147	true	0
1000000	31000	262147	true	100
1000000	31000	262147	true	100
1000000	31000	262147	true	100
1000000	31000	262147	true	0
1000000	32000	269018	false	400
1000000	32000	269018	false	100
1000000	32000	269018	false	100
1000000	32000	269018	false	100
1000000	32000	269018	false	100
1000000	32000	269018	false	100
1000000	32000	269018	false	100
1000000	32000	269018	false	100
1000000	32000	269018	false	100
1000000	32000	269018	false	100
1000000	33000	275981	false	200
1000000	33000	275981	false	100
1000000	33000	275981	false	0
1000000	33000	275981	false	100
1000000	33000	275981	false	100
1000000	33000	275981	false	100
1000000	33000	275981	false	100
1000000	33000	275981	false	100
1000000	33000	275981	false	0
1000000	33000	275981	false	100
1000000	34000	282890	false	200
1000000	34000	282890	false	0
1000000	34000	282890	false	0
1000000	34000	282890	false	0
1000000	34000	282890	false	0
1000000	34000	282890	false	0
1000000	34000	282890	false	0
1000000	34000	282890	false	100
1000000	34000	282890	false	0
1000000	34000	282890	false	0
1000000	35000	289693	true	200
1000000	35000	289693	true	0
1000000	35000	289693	true	0
1000000	35000	289693	true	100
1000000	35000	289693	true	100
1000000	35000	289693	true	100
1000000	35000	289693	true	100
1000000	35000	289693	true	100
1000000	35000	289693	true	100
1000000	35000	289693	true	100
1000000	36000	296325	false	400
1000000	36000	296325	false	0
1000000	36000	296325	false	0
1000000	36000	296325	false	100
1000000	36000	296325	false	0
1000000	36000	296325	false	0
1000000	36000	296325	false	0
1000000	36000	296325	false	0
1000000	36000	296325	false	0
1000000	36000	296325	false	0
1000000	37000	302916	true	200
1000000	37000	302916	true	100
1000000	37000	302916	true	100
1000000	37000	302916	true	0
1000000	37000	302916	true	100
1000000	37000	302916	true	0
1000000	37000	302916	true	0
1000000	37000	302916	true	100
1000000	37000	302916	true	0
1000000	37000	302916	true	0
1000000	38000	309347	false	200
1000000	38000	309347	false	0
1000000	38000	309347	false	100
1000000	38000	309347	false	0
1000000	38000	309347	false	0
1000000	38000	309347	false	100
1000000	38000	309347	false	0
1000000	38000	309347	false	0
1000000	38000	309347	false	0
1000000	38000	309347	false	0
1000000	39000	315857	false	200
1000000	39000	315857	false	0
1000000	39000	315857	false	0
1000000	39000	315857	false	100
1000000	39000	315857	false	0
1000000	39000	315857	false	0
1000000	39000	315857	false	0
1000000	39000	315857	false	100
1000000	39000	315857	false	0
1000000	39000	315857	false	0
1000000	40000	322420	false	200
1000000	40000	322420	false	100
1000000	40000	322420	false	100
1000000	40000	322420	false	0
1000000	40000	322420	false	0
1000000	40000	322420	false	100
1000000	40000	322420	false	0
1000000	40000	322420	false	100
1000000	40000	322420	false	0
1000000	40000	322420	false	0
1000000	41000	328651	false	500
1000000	41000	328651	false	0
1000000	41000	328651	false	100
1000000	41000	328651	false	100
1000000	41000	328651	false	0
1000000	41000	328651	false	200
1000000	41000	328651	false	100
1000000	41000	328651	false	0
1000000	41000	328651	false	0
1000000	41000	328651	false	100
1000000	42000	335048	false	400
1000000	42000	335048	false	100
1000000	42000	335048	false	0
1000000	42000	335048	false	100
1000000	42000	335048	false	0
1000000	42000	335048	false	100
1000000	42000	335048	false	100
1000000	42000	335048	false	100
1000000	42000	335048	false	0
1000000	42000	335048	false	0
1000000	43000	340986	true	300
1000000	43000	340986	true	100
1000000	43000	340986	true	100
1000000	43000	340986	true	0
1000000	43000	340986	true	100
1000000	43000	340986	true	0
1000000	43000	340986	true	0
